Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00187 Position: X=0.992472, Y=-0.01011324, Z=4.337279 
Frame 00188 Position: X=1.003336, Y=-0.007874012, Z=4.37814 
Frame 00189 Position: X=1.007473, Y=-0.007111073, Z=4.394349 
Frame 00190 Position: X=1.014531, Y=-0.005924702, Z=4.422882 
Frame 00191 Position: X=1.024752, Y=-0.004465103, Z=4.466312 
Frame 00192 Position: X=1.030285, Y=-0.003803253, Z=4.49095 
Frame 00193 Position: X=1.037232, Y=-0.003100395, Z=4.523091 
Frame 00194 Position: X=1.044688, Y=-0.002504826, Z=4.559216 
Frame 00195 Position: X=1.048789, Y=-0.002247334, Z=4.579858 
Frame 00196 Position: X=1.05777, Y=-0.001857281, Z=4.627176 
Frame 00197 Position: X=1.06426, Y=-0.001722813, Z=4.663349 
Frame 00198 Position: X=1.067663, Y=-0.001701355, Z=4.683053 
Frame 00199 Position: X=1.072742, Y=-0.001731396, Z=4.713482 
Frame 00200 Position: X=1.080387, Y=-0.001913548, Z=4.761848 
Frame 00201 Position: X=1.086089, Y=-0.002153397, Z=4.800194 
Frame 00202 Position: X=1.088667, Y=-0.002289772, Z=4.818248 
Frame 00203 Position: X=1.093219, Y=-0.002570629, Z=4.851337 
Frame 00204 Position: X=1.097526, Y=-0.002880573, Z=4.884234 
Frame 00205 Position: X=1.101445, Y=-0.003196716, Z=4.915669 
Frame 00206 Position: X=1.1064, Y=-0.003635883, Z=4.957798 
Frame 00207 Position: X=1.110844, Y=-0.004057407, Z=4.998234 
Frame 00208 Position: X=1.112926, Y=-0.004260063, Z=5.018186 
Frame 00209 Position: X=1.116302, Y=-0.004590034, Z=5.052133 
Frame 00210 Position: X=1.121097, Y=-0.005042076, Z=5.104377 
Frame 00211 Position: X=1.123547, Y=-0.005252838, Z=5.133318 
Frame 00212 Position: X=1.126784, Y=-0.005490303, Z=5.174533 
Frame 00213 Position: X=1.128225, Y=-0.005573273, Z=5.194201 
Frame 00214 Position: X=1.130588, Y=-0.005665302, Z=5.228617 
Frame 00215 Position: X=1.133947, Y=-0.005650997, Z=5.283649 
Frame 00216 Position: X=1.135288, Y=-0.005570889, Z=5.308344 
Frame 00217 Position: X=1.137036, Y=-0.005366325, Z=5.343891 
Frame 00218 Position: X=1.138978, Y=-0.004930496, Z=5.389816 
Frame 00219 Position: X=1.13981, Y=-0.004635334, Z=5.412633 
Frame 00220 Position: X=1.140949, Y=-0.004050255, Z=5.448879 
Frame 00221 Position: X=1.142057, Y=-0.003103256, Z=5.494106 
Frame 00222 Position: X=1.142647, Y=-0.002241135, Z=5.527369 
Frame 00223 Position: X=1.143033, Y=-0.001267433, Z=5.559393 
Frame 00224 Position: X=1.14327, Y=0.0002970695, Z=5.602892 
Frame 00225 Position: X=1.143243, Y=0.001477718, Z=5.631271 
Frame 00226 Position: X=1.1431, Y=0.002627373, Z=5.656227 
Frame 00227 Position: X=1.142728, Y=0.004347801, Z=5.689816 
Frame 00228 Position: X=1.142165, Y=0.00622797, Z=5.722581 
Frame 00229 Position: X=1.141419, Y=0.008270741, Z=5.754608 
Frame 00230 Position: X=1.1405, Y=0.01047564, Z=5.78594 
Frame 00231 Position: X=1.139389, Y=0.01289654, Z=5.817259 
Frame 00232 Position: X=1.138065, Y=0.01558018, Z=5.848962 
Frame 00233 Position: X=1.136487, Y=0.01860285, Z=5.881612 
Frame 00234 Position: X=1.133466, Y=0.02407837, Z=5.934323 
Frame 00235 Position: X=1.131669, Y=0.02721548, Z=5.961557 
Frame 00236 Position: X=1.129504, Y=0.03091574, Z=5.991441 
Frame 00237 Position: X=1.125727, Y=0.03723764, Z=6.037883 
