Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00233 Rotation: X=-0.3168931, Y=-0.1711942, Z=-0.0871317, W=0.9288054 
Frame 00234 Rotation: X=-0.3185972, Y=-0.1732798, Z=-0.08841372, W=0.9277139 
Frame 00235 Rotation: X=-0.3189798, Y=-0.1737386, Z=-0.08869897, W=0.9274693 
Frame 00236 Rotation: X=-0.3217302, Y=-0.1769999, Z=-0.09075239, W=0.9257023 
Frame 00237 Rotation: X=-0.3233541, Y=-0.1788462, Z=-0.09193797, W=0.9246641 
Frame 00238 Rotation: X=-0.3250699, Y=-0.1807424, Z=-0.09317577, W=0.9235692 
Frame 00239 Rotation: X=-0.3266086, Y=-0.1823935, Z=-0.09427048, W=0.9225901 
Frame 00240 Rotation: X=-0.3281628, Y=-0.1840145, Z=-0.09536143, W=0.921604 
Frame 00241 Rotation: X=-0.3285756, Y=-0.1844338, Z=-0.09564666, W=0.9213436 
Frame 00242 Rotation: X=-0.3315422, Y=-0.1873974, Z=-0.09769133, W=0.9194664 
Frame 00243 Rotation: X=-0.333245, Y=-0.1890051, Z=-0.09882925, W=0.9183995 
Frame 00244 Rotation: X=-0.335353, Y=-0.1909208, Z=-0.1002127, W=0.9170851 
Frame 00245 Rotation: X=-0.3371357, Y=-0.1924622, Z=-0.1013501, W=0.9159837 
Frame 00246 Rotation: X=-0.3376979, Y=-0.1929308, Z=-0.1017008, W=0.915639 
Frame 00247 Rotation: X=-0.3407885, Y=-0.195443, Z=-0.1036146, W=0.9137446 
Frame 00248 Rotation: X=-0.3421112, Y=-0.1964465, Z=-0.1044008, W=0.9129454 
Frame 00249 Rotation: X=-0.3438861, Y=-0.1977323, Z=-0.1054282, W=0.9118822 
Frame 00250 Rotation: X=-0.3459869, Y=-0.1991722, Z=-0.1066075, W=0.9106362 
Frame 00251 Rotation: X=-0.3477677, Y=-0.2003165, Z=-0.1075709, W=0.909593 
Frame 00252 Rotation: X=-0.3494903, Y=-0.2013586, Z=-0.1084711, W=0.9085953 
